,CUERPO,PROVINCIA,LOCALIDAD,CENTRO,PUESTO,PLAZAS
1,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597031-EDUCACIÓN INFANTIL,2
2,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597032-LENGUA EXTRANJERA-INGLÉS,1
3,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597033-LENGUA EXTRANJERA-FRANCÉS,1
4,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597034-EDUCACIÓN FÍSICA,1
5,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597035-MÚSICA,1
6,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597036-PEDAGOGÍA TERAPÉUTICA,1
7,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597038-EDUCACIÓN PRIMARIA,3
8,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597031-EDUCACIÓN INFANTIL,2
9,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597032-LENGUA EXTRANJERA-INGLÉS,1
10,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597034-EDUCACIÓN FÍSICA,1
11,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597035-MÚSICA,1
12,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1
13,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597APO-APOYO COMPENSACION,1
14,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597031-EDUCACIÓN INFANTIL,4
15,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597032-LENGUA EXTRANJERA-INGLÉS,2
16,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597033-LENGUA EXTRANJERA-FRANCÉS,1
17,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597034-EDUCACIÓN FÍSICA,1
18,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597035-MÚSICA,1
19,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597036-PEDAGOGÍA TERAPÉUTICA,2
20,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597037-AUDICIÓN Y LENGUAJE,1
21,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597038-EDUCACIÓN PRIMARIA,5
22,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,8
23,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597032-LENGUA EXTRANJERA-INGLÉS,2
24,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597033-LENGUA EXTRANJERA-FRANCÉS,1
25,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597034-EDUCACIÓN FÍSICA,1
26,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597036-PEDAGOGÍA TERAPÉUTICA,3
27,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597037-AUDICIÓN Y LENGUAJE,1
28,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597038-EDUCACIÓN PRIMARIA,5
29,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597034-EDUC. FISICA (PRIMARIA)- BILINGÜE INGLÉS,1
30,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597035-MÚSICA (PRIMARIA) - BILINGÜE INGLÉS,1
31,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,4
32,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,10
33,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597032-LENGUA EXTRANJERA-INGLÉS,3
34,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597033-LENGUA EXTRANJERA-FRANCÉS,1
35,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597034-EDUCACIÓN FÍSICA,1
36,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597035-MÚSICA,1
37,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597036-PEDAGOGÍA TERAPÉUTICA,2
38,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597037-AUDICIÓN Y LENGUAJE,1
39,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,10
40,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590001-FILOSOFIA P.E.S.,2
